,score_train,score_test,model
DIS,-2.1411734607568178e-08,-0.00014585389224563983,"(0, 0, 0)"
DLR,0.02277824066288392,-0.043895972193458865,"(2, 0, 0)"
DLTR,0.016204717300559057,-0.06873489742084837,"(2, 0, 2)"
DOC,0.042984099358492456,-0.10166217899566021,"(1, 0, 0)"
DOV,0.026088191061107047,0.01854654424943525,"(3, 0, 1)"
DPZ,-1.7880918523616174e-08,-3.8276853613350426e-05,"(0, 0, 0)"
DRI,0.09422248358299434,0.08194730940017703,"(1, 0, 3)"
DTE,0.061463891907624135,-0.26391196781825244,"(1, 0, 3)"
DUK,0.04478694286647822,-0.11058421230804916,"(2, 0, 2)"
DVA,-1.506562474773432e-08,-0.015940025093817756,"(0, 0, 0)"
DVN,0.018438313184878097,-0.06830827865571232,"(1, 0, 0)"
DXCM,-5.566327176964592e-09,-0.008721974494426687,"(0, 0, 0)"
EA,-0.019321476661513293,-0.019842457718659334,"(3, 1, 1)"
EBAY,-1.4514674351318035e-08,-1.537930200545823e-05,"(0, 0, 0)"
ECL,0.033840924106228853,-0.00029841716578471456,"(1, 0, 0)"
ED,0.043268539951656804,0.03738368052708285,"(2, 0, 2)"
EFX,0.005488538014246203,0.011912974722225411,"(1, 0, 0)"
EG,0.027541562941392206,-0.01858125231393748,"(2, 0, 2)"
EIX,0.00037981114707474894,0.0004030889589141662,"(1, 0, 1)"
EL,-2.0609688844430707e-08,-0.04984385605116981,"(0, 0, 0)"
ELV,0.04685607251987367,-0.0036141395031570323,"(3, 0, 2)"
EMN,-1.4101977585667669e-08,-0.0017237312470832489,"(0, 0, 0)"
EMR,-2.1692353691094013e-08,-0.0010143521588723559,"(0, 0, 0)"
EOG,0.016734785370991823,-0.03876081960487299,"(2, 0, 2)"
EQIX,0.00765449087745429,0.03262956227139402,"(1, 0, 1)"
EQR,0.023744110452977862,-0.012241694101425171,"(1, 0, 1)"
EQT,-5.594329666180897e-09,-0.0012089528330019306,"(0, 0, 0)"
ES,0.04701668836739725,-0.3467455286262884,"(1, 0, 1)"
ESS,0.014971853704565219,-0.006805297176658787,"(1, 0, 0)"
ETN,0.029252961229068508,-0.08493345832787247,"(3, 0, 1)"
ETR,0.016628208416920698,-0.036138950850312046,"(1, 0, 0)"
EVRG,0.038712767635118106,-0.10195486078344995,"(1, 0, 3)"
EW,0.011721936106270703,0.009952607105421674,"(1, 0, 1)"
EXC,0.006076526191435727,-0.007914038468557205,"(0, 0, 1)"
EXPD,-2.4503833184752466e-08,-0.003949200772668027,"(0, 0, 0)"
EXPE,0.02740169526612235,-0.013243863815691759,"(3, 0, 3)"
EXR,0.01488646931311055,-0.07786503317729676,"(0, 0, 2)"
F,0.01891019971030161,0.0004519607820542282,"(1, 0, 1)"
FAST,-2.111654162639809e-08,-0.027526450201325936,"(0, 0, 0)"
FCX,0.03399376440446478,0.04004604262820355,"(1, 0, 2)"
FDS,0.00416147679182266,0.020192164589705408,"(0, 0, 1)"
FDX,-1.4578921181396254e-08,-0.024767998401028724,"(0, 0, 0)"
FE,0.016409123652654345,0.024716003194271585,"(1, 0, 1)"
FFIV,-1.5610658765652374e-08,-0.011938708367614792,"(0, 0, 0)"
FI,0.04520810617192039,-0.07742078086586801,"(1, 0, 0)"
FICO,0.04810117416870874,-0.21509052522513294,"(2, 0, 2)"
FIS,-0.008771148884723079,-0.00761585839376111,"(0, 1, 1)"
FITB,0.033792749863544636,-0.004308923333929515,"(1, 0, 1)"
FMC,0.018536529874222385,-0.07901748865426628,"(1, 0, 1)"
FRT,0.02372089317927062,-0.029879203944179755,"(0, 0, 1)"
FSLR,-5.046038253908591e-09,-8.289883040291102e-05,"(0, 0, 0)"
FTNT,0.006257694841697248,0.004331536293731286,"(0, 0, 1)"
GD,0.011053712752070344,0.0027620819221582105,"(1, 0, 0)"
GE,0.035946267927097764,-0.043890296169372345,"(3, 0, 2)"
GEN,-1.3257239084296657e-08,-0.00016035159988136982,"(0, 0, 0)"
GILD,0.015073111506820003,-0.0020133262813293307,"(1, 0, 1)"
GIS,0.01699667656149728,-0.1773354758635155,"(2, 0, 0)"
GL,0.009921350644042981,-0.030757943780815866,"(1, 0, 0)"
GLW,-1.6154279025570872e-08,-0.0059571175079022876,"(0, 0, 0)"
GM,0.03787188595372448,0.027291992893289208,"(1, 0, 1)"
GNRC,0.03934843025483248,0.05635086080753848,"(3, 0, 3)"
GOOG,0.030665118333142227,-0.028200795088717534,"(2, 0, 2)"
GOOGL,0.023786232273689478,-0.0245990287438127,"(2, 0, 2)"
GPC,0.046450714293836404,-0.03536453015776564,"(0, 0, 3)"
GPN,0.030336442291756027,-0.03489744141539486,"(3, 1, 1)"
GRMN,-1.9047674548744453e-08,-0.0196426450475089,"(0, 0, 0)"
GS,-1.6028938176759766e-08,-0.00027834936119819353,"(0, 0, 0)"
GWW,0.009764759801326406,-0.017815407115277404,"(1, 0, 1)"
HAL,0.034027552165138975,-0.1556535467343796,"(3, 0, 2)"
HAS,-1.2978536245711325e-08,-0.003581594665835297,"(0, 0, 0)"
HBAN,0.02209660077057851,-0.014528841323163011,"(1, 0, 1)"
HCA,-1.210184863431607e-08,-0.004638741476242103,"(0, 0, 0)"
HD,0.025485061320981495,0.012197477792970202,"(0, 0, 1)"
HES,-7.453692107972643e-09,-0.0020480554475255097,"(0, 0, 0)"
HIG,0.027788082566574945,-0.03182207981936491,"(1, 0, 2)"
HII,-1.7104195837447378e-08,-0.0012830811856390234,"(0, 0, 0)"
HOLX,-1.7210357139418875e-08,-0.02079785963153813,"(0, 0, 0)"
HON,0.037661683699212634,0.003881907669595397,"(2, 0, 2)"
HPQ,0.012733942393161168,0.023460196178001547,"(2, 0, 0)"
HRL,-3.1832454672198196e-08,-0.07273291155654404,"(0, 0, 0)"
HSIC,0.03221831812705589,-0.04537803646773586,"(1, 0, 1)"
HST,0.007905682754678178,-0.0027940566025603797,"(0, 0, 1)"
HSY,0.014316152304150842,-0.14723000806080067,"(0, 0, 2)"
HUBB,0.00723742932258431,-0.023972245285700522,"(1, 0, 0)"
HUM,0.060798589581021245,0.002322818246927816,"(3, 0, 2)"
IBM,-2.4607568205325947e-08,-0.019006568414352998,"(0, 0, 0)"
ICE,0.015507762362072186,-0.03843241429964639,"(1, 0, 0)"
IDXX,0.006395278608052113,0.003820451020081439,"(1, 0, 0)"
IEX,-2.9062682482816626e-08,-0.022692721688392092,"(0, 0, 0)"
IFF,0.02063295558191669,-0.017071601677693726,"(1, 0, 1)"
ILMN,-9.194718764149457e-09,-0.017259694122708336,"(0, 0, 0)"
INCY,-0.009728793187014695,-0.02692851454883738,"(0, 1, 2)"
INTC,-1.7231678750562196e-08,-0.04877148018900135,"(0, 0, 0)"
INTU,0.01716946183063872,-0.0571837452538313,"(0, 0, 1)"
IP,-1.89091398095087e-08,-0.0011479701244321294,"(0, 0, 0)"
IPG,0.021768182702553762,0.012431552061113682,"(1, 0, 0)"
IRM,0.023118183253064584,-0.04166064824564497,"(1, 0, 3)"
ISRG,0.010070341026726992,0.03257672975623782,"(1, 0, 1)"
IT,0.009493606813238298,-0.008653343656725765,"(1, 0, 0)"
ITW,0.03110402015363234,0.017544131689253284,"(3, 0, 1)"
IVZ,-1.0482153145474626e-08,-0.0002555090519655856,"(0, 0, 0)"
J,0.007163979963699552,0.041336765168818346,"(1, 0, 0)"
JBHT,-2.155013101301506e-08,-0.00025497330886659064,"(0, 0, 0)"
JBL,0.004858676995831646,-0.0312892828361202,"(1, 0, 0)"
JCI,-1.893980150491359e-08,-0.00945343063909565,"(0, 0, 0)"
JKHY,0.023192747191341456,-0.17334798018727282,"(1, 0, 1)"
JNJ,-4.859404545420887e-08,-0.026542355413056384,"(0, 0, 0)"
JNPR,0.0052801773905910565,0.008617717223999621,"(0, 0, 1)"
JPM,-2.0101968312147278e-08,-0.005471021216083338,"(0, 0, 0)"
K,0.02840497687673771,-0.15289895576268875,"(0, 0, 1)"
KDP,0.0013132217678957225,-0.050638886184801946,"(1, 0, 1)"
KEY,0.04890795552074523,-0.020162681766487722,"(0, 0, 3)"
KIM,0.018840032229322734,-0.004007805834749467,"(1, 0, 0)"
KLAC,0.026012111374808633,0.02418976922444782,"(2, 0, 2)"
KMB,0.019476350630421857,-0.06321954639053051,"(0, 0, 3)"
KMI,-1.48162953017561e-08,-0.000405913145798964,"(0, 0, 0)"
KMX,0.08633451666018899,-0.09217571328671403,"(0, 0, 3)"
KO,0.04102113385906536,-0.13392129217014004,"(2, 0, 1)"
KR,0.0221023197268001,-0.06370745530500388,"(1, 0, 1)"
L,-2.5425065386386336e-08,-0.010276466176809329,"(0, 0, 0)"
LDOS,0.023574568918069305,-0.05339158463932803,"(2, 0, 3)"
LEN,0.03774195537870795,-0.06694668598278186,"(2, 0, 2)"
LH,0.05182035867988777,0.033607641724151094,"(3, 0, 1)"
LHX,0.03045750611708853,-0.06589957113822664,"(2, 0, 2)"
LIN,0.014050740944479556,0.034693453474721636,"(1, 0, 1)"
LKQ,0.04637508478584407,0.014312023466062973,"(1, 0, 1)"
LLY,0.008778337855282814,-0.04371890834328429,"(0, 0, 1)"
LNT,0.008785612436889356,0.00972137743141066,"(1, 0, 1)"
LOW,0.030418457994929482,0.02973572028087934,"(2, 0, 0)"
LRCX,0.014917332750857049,0.012208842365622585,"(1, 0, 1)"
LULU,0.00421985055343832,-0.009261404087181013,"(1, 0, 0)"
