,score_train,score_test
MDLZ,0.0026400691808473598,-0.0031513386318724468
MDT,-0.0038068322092568163,-0.009114596419793841
MET,0.0006165139963667521,-0.006940952541687917
MGM,-0.0013455537837805398,0.0046792048570878375
MHK,-0.0004239958018090739,0.0039656583856280125
MKC,0.0002099820174298328,-0.003913915319722072
MKTX,-0.0018996537966926574,0.013128822356996972
MLM,-0.9368655361889855,-2.048330318064729
MMC,-0.012318225029168461,-0.011572589134912104
MMM,0.0020348069814772884,-0.007551678501581005
MNST,0.0010465724652821695,-0.004297240344799169
MO,-0.0004477793173114364,-0.0042677491025804315
MOH,-0.0029734754239594263,-0.016666265359734256
MOS,-0.002186272413195134,-0.012056345031568716
MPC,-0.0013790261179462693,0.003219223594966958
MPWR,-0.0014751507646457718,0.0030271845674235687
MRK,0.0011159853574198575,-0.0034804644748602787
MRO,-0.6256693365768202,-1.1644495117738791
MS,-0.44786464533193726,-0.8236234889450398
MSCI,-0.0031536195194616923,-0.002529840721006593
MSFT,-0.03167903911665637,-0.04842273599567637
MSI,0.001272138064576489,-0.005857759463055556
MTB,-0.019660907988874543,-0.06380119328309997
MTCH,-0.008030024103546696,-0.0333060253118882
MTD,-0.0008951348721006891,-0.007654550354221357
MU,-0.09545271924895071,-0.15825467986313368
NDAQ,-0.010108165521692802,-0.04110411014069659
NDSN,-0.16813457737283533,-0.38566781401109473
NEE,-0.0006960734128198531,-0.0077952767614311025
NEM,-0.8616782929986126,-1.9161829427022181
NFLX,-0.011420966446824998,-0.012079545745094622
NI,-8.000634566107747,-16.018675845699676
NKE,-0.0034559331181798214,0.000872086044503062
NOC,-0.002753872297279747,-0.004966578771878227
NRG,-0.009129685562041745,-0.020231490765466376
NSC,-0.004146844116543091,0.0007206606617098377
NTAP,-0.0021128985841532,-0.007331084103318064
NTRS,-0.001971274300124115,-0.0016636597498345118
NUE,-0.0012207609017240717,-0.014418414670084978
NVDA,-0.039580067903383975,-0.05638390195323684
NVR,-0.0013700227828248313,-0.013492706320515468
NXPI,-0.009371415792779336,-0.006626976892440517
O,-0.04910167543430766,-0.14660877934240402
ODFL,0.0006590271287727489,-0.003653702884952592
OKE,7.40721155898516e-05,-0.007767379211430558
OMC,-0.0009980040465604745,-0.009060372634682956
ON,-0.000421912020565296,-0.007220541528816682
ORCL,-0.0005667207212716185,-0.004473814992627112
ORLY,-0.49932959576911284,-0.9305531153877469
OXY,0.0006054385291306419,-0.002759012813366324
PARA,-0.005437338319296936,-0.019326309307505563
PAYX,-0.0041724026329665875,0.0004110503893710593
PCAR,-0.0007723294989070428,-0.01631753678799064
PCG,-0.0045910921403016225,-0.0014995322421726964
PEG,-0.10026719783622262,-0.1527997622194106
PEP,-0.0005133815774127637,-0.004068297062536752
PFE,-0.0003489211309075646,6.963813155669296e-05
PFG,-0.002688761304437959,-0.0035925345377230133
