,score_train,score_test,model
LYB,-5.096622013311958e-08,-0.0004058545976168837,"(0, 0, 0)"
LYV,-4.473460224474479e-08,-0.00022468579456158544,"(0, 0, 0)"
MA,0.006733151986878738,-0.004959227914775655,"(0, 0, 1)"
MAA,0.01804695418349933,-0.031024311204877808,"(3, 0, 3)"
MAR,0.0012126441401483223,-0.003286829020130666,"(1, 0, 0)"
MAS,-7.422753633967716e-08,-0.0033378012708629168,"(0, 0, 0)"
MCD,0.016772549500117084,-0.022304691555992573,"(3, 0, 0)"
MCHP,0.013105310950718652,-0.004844921015192183,"(0, 0, 2)"
MCK,0.006368688605966399,-0.013922022430739034,"(2, 0, 2)"
MCO,0.007413549783737539,-0.006767564693753503,"(1, 0, 0)"
MDLZ,0.015412140452513268,-0.011644838471109198,"(1, 0, 0)"
MDT,0.0042287703892452955,-0.0029684798029656623,"(1, 0, 0)"
MET,-6.957029197174336e-08,-0.0018671064931963244,"(0, 0, 0)"
MGM,0.00581933920981581,0.00830605219656777,"(2, 0, 2)"
MHK,0.0019294004340283388,0.002494995532129396,"(1, 0, 0)"
MKC,0.0051194970432444364,-0.02278104317068297,"(1, 0, 0)"
MKTX,-6.592546664130339e-08,-0.0005387002934185148,"(0, 0, 0)"
MLM,-6.209564418213631e-08,-0.003625555243012224,"(0, 0, 0)"
MMC,0.018964535464600196,-0.0031269629268211308,"(2, 0, 3)"
MMM,0.0020341775881255186,-0.0010807211944965367,"(0, 0, 1)"
MNST,0.007853111908855515,0.02164142657826096,"(3, 0, 0)"
MO,-1.3041414259618023e-07,-0.0026820647941701026,"(0, 0, 0)"
MOH,0.002942021702233011,-0.00013115560431131712,"(0, 0, 2)"
MOS,0.011453908599771023,-0.008598637220341265,"(3, 0, 2)"
MPC,0.004902418465347114,-0.007922279976793511,"(1, 0, 2)"
MPWR,0.017129768052135952,-0.02003847612566889,"(1, 0, 0)"
MRK,0.007811942202223476,-0.012160175218744795,"(2, 0, 0)"
