,score_train,score_test,benchmark,p_value,correlation
CVX,0.00016898872180770574,-0.028309203488922963,-0.005886521391481603,0.7672144748381218,-0.14493096545247502
D,0.010544134419191997,-0.07886380477173227,-0.012476880765666776,0.019058190110143543,-0.1903565539507062
DAL,0.0126420486907729,-0.051651318409353886,-0.011115078164825043,0.01021680528015081,-0.17051042560800442
DD,0.0008783351794373617,0.0003288031036612349,-0.00992634896425848,0.49967945647671774,0.03928348854198542
DE,0.010269616985820185,0.04362062491967911,-3.781574865069359e-05,0.020694553020566723,0.34093194260072696
DECK,0.008442612888287626,-0.022152961652453396,-0.07853056065585262,0.03602156958862076,0.025307995284863827
DFS,0.07961083126351687,-0.18413368075731196,-0.008054952129818105,5.4338799534092377e-11,-0.18525175436731603
DG,0.023187591584364342,-0.22887390644921668,-0.04096402109502639,0.00048710926252224656,-0.3165865903711462
DGX,0.000575736843542618,-0.034762381967365474,-0.004658443140969748,0.5847578614906326,0.013121059701974469
DHI,0.005460404824706111,-0.05283599382373261,-0.07355531957434303,0.09200256880703327,-0.09234671035307757
DHR,0.007910949863676242,0.0166550452266071,-0.0001183236815909261,0.04242562875911851,0.2066620664070862
DIS,0.0003161503782559416,0.006709253202761611,-0.001624428521943333,0.6855456089371891,0.20003097402896275
DLR,0.004014864681883723,-0.0059718181375769674,-0.033221383294577134,0.14866467120606933,0.13099376875268745
DLTR,0.003129539712367846,-0.037617903328553526,-0.0005138883454367527,0.20236658910450755,-0.27187295737388206
DOC,0.043001661859685236,-0.1015034074564154,-0.004549321925673366,1.8069927862227298e-06,-0.11155913415408589
DOV,0.005315361736241142,0.033730389537793726,-0.008506119326298966,0.09644498828049067,0.26827814201608
DPZ,0.0011105600011138694,0.008752747017082285,-0.010865389033732686,0.4478270768687913,0.14819906955010337
DRI,0.029192315311526218,0.020387275096625634,-0.026281861146094654,8.877487611781628e-05,0.14513338236440515
DTE,0.022764078152399336,-0.0755742479169581,-6.946144084896133e-05,0.0005495266837644711,-0.11930526458319726
DUK,0.003697411936870454,-0.010899746904144081,-7.060326678853812e-08,0.165783646949422,0.006576883624382265
DVA,0.0013146883170903623,-0.019099837618780313,-0.02377473574232658,0.4088594626527391,-0.009212423507829144
DVN,0.01846866085003307,-0.06762446938698874,-0.0056015392040307255,0.001877553747562718,-0.12610152504173966
DXCM,0.0008475322466736657,-0.002898672985174988,-0.003518214470678238,0.5073001114845909,0.11702952122799512
EA,0.0007351185655911641,-0.0028250934968745423,-0.007516708126182214,0.5369086688998194,0.03578824151333336
EBAY,0.0017819727996712942,0.008022630043281076,-0.003195724265469213,0.33622363174712666,0.11581261552317139
ECL,0.033981134126750745,-0.001124560089897253,-0.044803842512091574,2.2971089146484344e-05,0.170984911379484
ED,0.00015790752450384193,-0.010678277817259385,-3.4477372272689877e-06,0.7747635945666091,-0.10598492115364527
EFX,0.005497239458617131,0.011759777560840567,-0.016288055103912846,0.0909100499261222,0.1362305907514153
EG,0.011625515205748727,-0.032245800644484346,-0.003988025230461378,0.013803123342510201,-0.09217280069321833
EIX,0.0005535965852407898,-0.00039024617515459603,-0.014484210243697948,0.5920723906555301,0.07433588254337518
EL,0.0024422504455164917,-0.052421292769074146,-0.024350043374722796,0.2601691776997889,0.035061923148018204
ELV,0.011145253080155904,-0.02412599375202107,-0.0010061791898190453,0.015923825610649804,0.1930080013973312
EMN,0.0002672571069602947,0.007402293884021582,-0.008219417906127013,0.7096853882121252,0.2971810552268098
EMR,0.0001536666821659871,-0.00836673675424926,-0.0014611226010594613,0.7777283626167512,-0.2995345134855453
EOG,0.0005660413256076691,-0.013176414981944662,-0.00021124338145650512,0.5879382139664189,-0.2013203694264008
EQIX,0.005823700671319987,0.0357562676435087,-0.02353790905180886,0.08181772947323768,0.29295670322709444
EQR,0.012074049123406594,-0.022259337137677804,-0.0043384884318753425,0.012083986151821564,-0.04556567951294143
EQT,1.405648068664167e-05,-0.0023911992146359307,-0.00719149910569028,0.9319658320183399,-0.1400871456747001
ES,0.009450877443649586,-0.07071559787319104,-0.021850735473984084,0.0264924291026669,0.00860771960052957
ESS,0.014979174609352719,-0.006940016215186695,-0.016200190337896103,0.005151499071897355,0.05981320580847989
ETN,0.010210228430084567,-0.03983794423996523,-0.06794706234526937,0.02106723026547179,0.029250093084304634
ETR,0.016650251407251848,-0.035685997657388446,-0.0010007334344821484,0.0031719028087758105,0.0014235645063020697
EVRG,0.014351469362764324,-0.020374908345149434,-0.007604286364519819,0.006186497140592562,0.1560431326319463
